iter	Passed	Remaining
655	10436	21383
656	10451	21364
657	10465	21343
658	10479	21324
659	10493	21304
660	10506	21283
661	10519	21261
662	10532	21239
663	10546	21219
664	10558	21196
665	10572	21175
666	10585	21154
667	10601	21139
668	10619	21128
669	10635	21112
670	10648	21090
671	10660	21066
672	10674	21046
673	10688	21027
674	10702	21009
675	10715	20987
676	10728	20965
677	10741	20944
678	10754	20922
679	10771	20909
680	10786	20892
681	10802	20876
682	10818	20861
683	10833	20842
684	10845	20820
685	10859	20800
686	10873	20782
687	10889	20765
688	10905	20749
689	10919	20731
690	10934	20713
691	10948	20695
692	10960	20672
693	10974	20652
694	10992	20640
695	11010	20628
696	11023	20607
697	11036	20587
698	11050	20567
699	11064	20548
700	11081	20533
701	11097	20519
702	11113	20503
703	11128	20485
704	11141	20465
705	11155	20446
706	11170	20429
707	11185	20412
708	11200	20394
709	11213	20373
710	11227	20354
711	11238	20330
712	11252	20312
713	11271	20300
714	11287	20286
715	11305	20273
716	11317	20251
717	11329	20228
718	11343	20209
719	11355	20187
720	11369	20167
721	11384	20151
722	11399	20135
723	11414	20118
724	11426	20094
725	11438	20072
726	11450	20050
727	11464	20031
728	11478	20013
729	11493	19996
730	11522	20002
731	11536	19983
732	11548	19961
733	11560	19938
734	11573	19919
735	11587	19900
736	11604	19886
737	11617	19866
738	11630	19845
739	11643	19825
740	11655	19803
741	11670	19785
742	11684	19767
743	11699	19750
744	11713	19732
745	11725	19710
746	11739	19692
747	11752	19671
748	11765	19651
749	11779	19633
750	11796	19618
751	11809	19599
752	11821	19576
753	11834	19556
754	11847	19536
755	11861	19517
756	11875	19499
757	11891	19485
758	11908	19470
759	11922	19451
760	11934	19430
761	11947	19410
762	11959	19389
763	11972	19369
764	11988	19353
765	12002	19334
766	12015	19314
767	12026	19292
768	12040	19274
769	12053	19254
770	12068	19237
771	12082	19219
772	12095	19199
773	12109	19181
774	12123	19163
775	12137	19144
776	12150	19125
777	12162	19103
778	12179	19090
779	12195	19074
780	12206	19052
781	12219	19033
782	12234	19016
783	12247	18996
784	12263	18981
785	12278	18965
786	12295	18950
787	12308	18931
788	12322	18912
789	12335	18893
790	12349	18876
791	12364	18858
792	12379	18842
793	12395	18827
794	12408	18808
795	12422	18789
796	12436	18771
797	12450	18753
798	12464	18735
799	12478	18717
800	12493	18700
801	12508	18684
802	12521	18665
803	12535	18646
804	12547	18626
805	12562	18609
806	12580	18597
807	12594	18580
808	12609	18564
809	12621	18542
810	12635	18524
811	12648	18505
812	12664	18490
813	12678	18473
814	12693	18455
815	12708	18439
816	12720	18419
817	12732	18399
818	12745	18379
819	12759	18361
820	12774	18344
821	12790	18329
822	12802	18309
823	12817	18293
824	12829	18271
825	12842	18252
826	12854	18232
827	12869	18216
828	12883	18198
829	12897	18180
830	12910	18161
831	12923	18142
832	12936	18123
833	12949	18104
834	12964	18087
835	12978	18071
836	12992	18053
837	13006	18034
838	13019	18016
839	13032	17996
840	13045	17978
841	13060	17961
842	13077	17948
843	13091	17931
844	13103	17910
845	13117	17892
846	13129	17872
847	13142	17854
848	13155	17834
849	13170	17819
850	13187	17805
851	13202	17789
852	13216	17771
853	13228	17751
854	13241	17732
855	13253	17712
856	13268	17695
857	13279	17675
858	13293	17657
859	13305	17637
860	13318	17618
861	13331	17600
862	13345	17582
863	13359	17565
864	13374	17548
865	13387	17530
866	13400	17511
867	13414	17495
868	13428	17477
869	13444	17462
870	13459	17446
871	13473	17429
872	13485	17409
873	13499	17391
874	13512	17372
875	13525	17354
876	13538	17336
877	13554	17321
878	13569	17305
879	13583	17287
880	13597	17270
881	13609	17251
